"","x"
"665","Il17re"
"666","Il18r1"
"667","Il18rap"
"668","Il19"
"669","Il1a"
"670","Il1b"
"671","Il1f10"
"672","Il1f5"
"673","Il1f6"
"674","Il1f8"
"675","Il1f9"
"676","Il1r1"
"677","Il1r2"
"678","Il1rap"
"679","Il1rapl1"
"680","Il1rapl2"
"681","Il1rl1"
"682","Il1rl2"
"683","Il2"
"684","Il20"
"685","Il20ra"
"686","Il20rb"
"687","Il21"
"688","Il21r"
"689","Il22"
"690","Il22ra1"
"691","Il22ra2"
"692","Il23a"
"693","Il23r"
"694","Il24"
"695","Il25"
"696","Il27"
"697","Il27ra"
"698","Il2ra"
"699","Il2rb"
"700","Il2rg"
"701","Il3"
"702","Il31"
"703","Il31ra"
"704","Il33"
"705","Il34"
"706","Il3ra"
"707","Il4"
"708","Il4ra"
"709","Il5"
"710","Il5ra"
"711","Il6"
"712","Il6ra"
"713","Il6st"
"714","Il7"
"715","Il7r"
"716","Il9"
"717","Il9r"
"718","Inha"
"719","Inhba"
"720","Inhbb"
"721","Inhbc"
"722","Inhbe"
"723","Insr"
"724","Insrr"
"725","Isl1"
"726","Itga2"
"727","Itgae"
"728","Itgam"
"729","Itgax"
"730","Itgb2"
"731","Itpr1"
"732","Itpr2"
"733","Itpr3"
"734","Jag1"
"735","Jag2"
"736","Jaml"
"737","Kdr"
"738","Kif16b"
"739","Kif5a"
"740","Kiss1r"
"741","Kit"
"742","Kitl"
"743","Lama1"
"744","Lamp3"
"745","Lefty1"
"746","Lefty2"
"747","Lep"
"748","Lepr"
"749","Lgr4"
"750","Lgr5"
"751","Lgr6"
"752","Lhcgr"
"753","Lif"
"754","Lifr"
"755","Lmtk2"
"756","Lmtk3"
"757","Lmx1a"
"758","Lpar1"
"759","Lpar2"
"760","Lpar3"
"761","Lpar4"
"762","Lpar5"
"763","Lpar6"
"764","Lrp5"
"765","Lrp6"
"766","Lrrk2"
"767","Lta"
"768","Ltb"
"769","Ltb4r1"
"770","Ltb4r2"
"771","Ltk"
"772","Ly75"
"773","Lyve1"
"774","Maged2"
"775","Map2"
"776","Marcksl1"
"777","Mas1"
"778","Mboat4"
"779","Mc1r"
"780","Mc2r"
"781","Mc3r"
"782","Mc4r"
"783","Mc5r"
"784","Mchr1"
"785","Mcm2"
"786","Mertk"
"787","Met"
"788","Mfap5"
"789","Mitf"
"790","Mki67"
"791","Mpl"
"792","Mrc1"
"793","Mrc2"
"794","Mrgpra1"
"795","Mrgpra2a"
"796","Mrgpra2b"
"797","Mrgpra3"
"798","Mrgpra4"
"799","Mrgpra6"
"800","Mrgpra9"
"801","Mrgprb1"
"802","Mrgprb13"
"803","Mrgprb2"
"804","Mrgprb3"
"805","Mrgprb4"
"806","Mrgprb5"
"807","Mrgprb8"
"808","Mrgprd"
"809","Mrgpre"
"810","Mrgprf"
"811","Mrgprg"
"812","Mrgprh"
"813","Mrgprx1"
"814","Mrgprx2"
"815","Mst1r"
"816","Mstn"
"817","Mtnr1a"
"818","Mtnr1b"
"819","Muc1"
"820","Muc4"
"821","Musk"
"822","Myh10"
"823","Mzb1"
"824","Naip1"
"825","Naip2"
"826","Naip5"
"827","Naip6"
"828","Ncr1"
"829","Nes"
"830","Neurod1"
"831","Neurog3"
"832","Ngf"
"833","Ngfr"
"834","Nkg7"
"835","Nlrc4"
"836","Nlrc5"
"837","Nlrp10"
"838","Nlrp12"
"839","Nlrp14"
