"","x","y"
"404",8380.71208247423,-1378.00002783505
"405",8575.29374452555,-1573.28131970803
"406",8348.19196153846,-1349.55376923077
"407",8354.25164864865,-1348.38032972973
"408",8516.36060869565,-1511.65676086957
"409",8233.66796296296,-1231.52177407407
"410",8388.9490703125,-1379.59655625
"411",8584.89745049505,-1583.17829108911
"412",8396.8437631579,-1388.10599473684
"413",8185.87181917808,-1177.89391506849
"414",8223.64998611111,-1221.62211388889
"415",8231.77002380952,-1225.24119761905
"416",8581.88246866097,-1573.89707435897
"417",8520.8149011976,-1518.49945868263
"418",8383.96797142857,-1374.17420571429
"419",8163.95218125,-1154.66135892857
"420",8329.81010377358,-1326.11011132076
"421",8591.30747191011,-1583.87772865169
"422",8590.59753177258,-1577.15780869565
"423",8238.59632467533,-1237.54964155844
"424",8236.93973,-1226.268833
"425",8186.16095,-1180.89491219512
"426",8600.89543877551,-1594.87720816327
"427",8147.48580920245,-1132.41359877301
"428",8383.43393921569,-1372.47104431373
"429",8366.32327173913,-1356.31959347826
"430",8441.37960287081,-1428.27525263158
"431",8169.69593790323,-1153.1833016129
"432",8244.38135714286,-1233.95193736264
"433",8351.38745454545,-1344.19215
"434",8586.869496875,-1578.312045625
"435",8195.97798968254,-1180.79678611111
"436",8268.25311764706,-1260.52684705882
"437",8401.31515178571,-1374.67951071429
"438",8394.63631372549,-1371.76489215686
"439",8346.48700337838,-1337.80820878378
"440",8585.74900632912,-1568.15302721519
"441",8434.15192105263,-1425.57933859649
"442",8404.93338888889,-1383.55878888889
"443",8191.61874779874,-1181.08478050314
"444",8203.94218877551,-1178.2686877551
"445",8243.91270754717,-1223.48004716981
"446",8252.20142307692,-1239.35901923077
"447",8396.82876595745,-1379.56651914894
"448",8418.34693103448,-1398.4509137931
"449",8452.39460493827,-1435.10275308642
"450",8251.43904090909,-1231.68696318182
"451",8391.96497692307,-1370.68412923077
"452",8225.99588607595,-1207.01569556962
"453",8200.12216260163,-1181.50259186992
"454",8172.80515255474,-1149.69289562044
"455",8156.47355925926,-1124.1003362963
"456",8442.65785227273,-1421.145
"457",8414.75507236842,-1394.01395921053
"458",8397.35903846154,-1375.17262564103
"459",8229.6055,-1201.37881020408
"460",8135.71727826087,-1113.89603478261
"461",8367.2175,-1339.21742105263
"462",8462.40206725146,-1436.9652251462
"463",8178.65188871795,-1146.85340307692
"464",8355.29600877193,-1334.08990526316
"465",8375.95633064516,-1343.94064677419
"466",8417.69888011696,-1390.6224380117
"467",8419.75735897436,-1397.62061025641
"468",8140.67698235294,-1122.19073137255
"469",8402.3400326087,-1377.86100869565
"470",8369.6539680851,-1340.56168297872
"471",8359.49490243902,-1328.77267073171
"472",8423.53080722892,-1395.25618313253
"473",8588.95658657244,-1560.83814275618
"474",8582.16823244147,-1556.55270936455
"475",8543.28422727273,-1520.35124935065
"476",8574.65089181287,-1545.82910233918
"477",8570.55718309859,-1540.84320985916
"478",8384.13603651685,-1348.25797752809
"479",8229.53786879432,-1202.50156666667
"480",8180.88286666667,-1158.21662444444
"481",8212.68438557994,-1174.10816175549
"482",8558.67418390805,-1530.13663333333
"483",8583.54515181059,-1547.6584908078
"484",8163.72375728155,-1121.51670841424
"485",8551.311096,-1520.800088
"486",8469.1467238806,-1433.6643761194
"487",8577.71283454545,-1540.00516763636
"488",8148.23804109589,-1117.68007534247
"489",8403.29262068965,-1376.28004942529
"490",8158.03185288462,-1127.21207211538
"491",8158.03325949367,-1116.13000253165
"492",8135.562165,-1095.8525475
"493",8366.61714054054,-1328.73169783784
"494",8464.03213392857,-1434.83057142857
"495",8153.26250128205,-1115.53972948718
"496",8129.1865882353,-1089.51506470588
"497",8415.94743243243,-1384.31995135135
"498",8429.89860227273,-1387.22651363636
"499",8153.07566666667,-1125.111365
"500",8219.78023641304,-1173.89680380435
"501",8566.29335,-1528.78320111111
"502",8552.24666190476,-1519.70145238095
"503",8595.30944318182,-1562.36873409091
"504",8206.38855555556,-1176.16743611111
"505",8157.60106022727,-1115.84689090909
"506",8382.62981012658,-1341.19838481013
"507",8189.97676568266,-1145.97126531365
"508",8394.12903348214,-1349.584496875
"509",8377.76713846154,-1329.63467307692
"510",8544.26192105263,-1507.00173333333
"511",8452.36690909091,-1402.53445909091
"512",8238.69955309735,-1200.16268716814
"513",8547.15733333333,-1501.74743687943
"514",8424.3457972973,-1385.92807837838
"515",8136.06187218543,-1089.57418675497
"516",8551.37705882353,-1511.37216470588
"517",8426.5193503937,-1377.2295496063
"518",8253.68836666667,-1212.08140916667
"519",8448.53479326923,-1404.91839711538
"520",8279.41194117647,-1231.21473235294
"521",8556.75908,-1512.506844
"522",8597.32079807692,-1552.05509038462
"523",8195.60754895105,-1143.85032867133
"524",8276.93969551282,-1234.56933269231
"525",8462.53153164557,-1416.58088987342
"526",8435.447625,-1388.10346118421
"527",8594.08132608696,-1544.63242173913
"528",8619.18147741936,-1563.61652193548
"529",8376.92157142857,-1334.88539591837
"530",8562.75225581395,-1515.91973875969
"531",8164.69838287671,-1112.18406849315
"532",8577.89403799392,-1530.88748024316
"533",8476.78672307692,-1426.22935230769
"534",8160.07480655738,-1111.85740327869
"535",8582.21517346939,-1536.54905306122
"536",8225.50410294118,-1171.11815462185
"537",8618.49113559322,-1569.19238305085
"538",8635.37709090909,-1587.13352207792
"539",8464.52727722772,-1412.74217029703
"540",8387.91318382353,-1344.72246470588
"541",8127.22065116279,-1081.80353488372
"542",8603.28835955056,-1550.75856966292
"543",8255.57304166667,-1208.12293888889
"544",8478.52121617647,-1420.11415235294
"545",8152.78325151515,-1099.95625454545
"546",8392.61442156863,-1332.65294117647
"547",8177.30383083333,-1122.4252925
"548",8385.238,-1333.2996688172
"549",8458.8788364486,-1396.53708317757
"550",8471.15626973684,-1412.12194605263
"551",8272.29838288288,-1215.84336216216
"552",8623.79159701493,-1568.58997835821
"553",8399.51372983871,-1338.22503951613
"554",8483.98950789474,-1425.45376368421
"555",8576.60587,-1520.85507866667
"556",8139.37335384615,-1085.00898269231
"557",8212.10431060606,-1161.19135
"558",8344.35110638298,-1292.26590851064
"559",8212.24907142857,-1162.50979714286
"560",8592.29865625,-1538.37724375
"561",8380.5313960396,-1324.87268118812
"562",8554.6406,-1491.68524105263
"563",8437.69695967742,-1383.47295806452
"564",8219.40069594595,-1158.71503378378
"565",8247.97528436019,-1194.6396957346
"566",8164.44931346154,-1108.07334807692
"567",8167.67942586207,-1106.39505
"568",8615.21732188295,-1549.08517684478
"569",8412.86643103448,-1349.64515517241
"570",8132.52127484662,-1069.37578466258
"571",8145.13230790378,-1082.8455209622
"572",8219.91184210526,-1160.76139210526
"573",8484.55577922078,-1418.58314805195
"574",8459.39341150442,-1396.29603097345
"575",8347.05931481481,-1286.06541481481
"576",8358.4509009434,-1294.0123990566
"577",8430.07957142857,-1373.31029183673
"578",8318.65848395722,-1261.56355828877
"579",8350.87941044776,-1287.95597761194
"580",8158.72648421053,-1096.13143552632
"581",8159.14327407407,-1097.67158518519
"582",8184.1291289855,-1120.77914289855
"583",8409.26273553719,-1344.9793107438
"584",8156.01773015873,-1084.21425793651
"585",8339.439,-1276.88923185185
"586",8425.99721367521,-1358.42804358974
"587",8473.45058333333,-1409.9304875
"588",8461.19788,-1393.47763466667
"589",8164.40075897436,-1103.59170512821
